year,month,day,dayofweek,dayofyear,week,quarter,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_festivo,dayofweek_sin,dayofweek_cos,month_sin,month_cos,dayofyear_sin,dayofyear_cos,total_lag_1d,total_lag_7d,total_lag_14d,total_rolling_mean_7d,total_rolling_std_7d,total_rolling_min_7d,total_rolling_max_7d,total_rolling_mean_14d,total_rolling_std_14d,total_rolling_min_14d,total_rolling_max_14d,total_rolling_mean_28d,total_rolling_std_28d,total_rolling_min_28d,total_rolling_max_28d,p8_lag_1d,p8_lag_7d,p12_lag_1d,p12_lag_7d,p18_lag_1d,p18_lag_7d,p20_lag_1d,p20_lag_7d,total_day_change,total_day_change_pct,is_rainy_season,is_january,is_december,week_of_month,temp_mean_lag1d,temp_min_lag1d,temp_max_lag1d,temp_std_lag1d,humidity_mean_lag1d,humidity_min_lag1d,humidity_max_lag1d,feels_like_mean_lag1d,feels_like_min_lag1d,feels_like_max_lag1d,temp_x_is_weekend,temp_x_is_festivo,dayofweek_x_festivo,month_x_festivo,weekend_x_month,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,TOTAL,FECHA
2024,1,1,0,1,1,1,0,1,0,1,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.0,0.0,0.0,21394.90954,0.0,21394.90954,21394.90954,21394.90954,0.0,21394.90954,21394.90954,21394.90954,0.0,21394.90954,21394.90954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,881.82599,849.931,809.63944,782.66869,761.60659,762.93479,730.88959,744.82634,779.9844,822.18231,871.63415,922.73952,955.06747,959.40707,947.78873,945.94762,943.25234,956.09995,1051.09203,1071.34546,1041.2543,996.93233,936.80657,869.05286,21394.90954,2024-01-01
2024,1,2,1,2,1,1,0,0,0,0,0,1,0.7818314824680297,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,21394.90954,0.0,0.0,24236.59534,4018.7505983630413,21394.90954,27078.281140000003,24236.59534,4018.7505983630413,21394.90954,27078.281140000003,24236.59534,4018.7505983630413,21394.90954,27078.281140000003,744.82634,0.0,922.73952,0.0,956.09995,0.0,1071.34546,0.0,5683.371600000002,26.564130076709837,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,812.49097,783.42112,772.64507,776.21909,813.78394,884.84248,953.62121,1041.44381,1123.50724,1198.81024,1256.20581,1312.29917,1343.20933,1337.0275,1339.68396,1344.16803,1317.97884,1284.39504,1360.69432,1360.26564,1302.36375,1215.53186,1118.416,1025.25672,27078.281140000003,2024-01-02
2024,1,3,2,3,1,1,0,0,0,0,0,1,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,27078.281140000003,0.0,0.0,25775.52250666667,3896.160758854251,21394.90954,28853.37684,25775.52250666667,3896.160758854251,21394.90954,28853.37684,25775.52250666667,3896.160758854251,21394.90954,28853.37684,1041.44381,0.0,1312.29917,0.0,1284.39504,0.0,1360.26564,0.0,1775.095699999998,6.555422372721531,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,944.80749,907.19889,892.73632,887.42632,921.76307,987.09307,1051.58456,1139.32882,1217.65092,1269.69391,1334.43829,1393.30122,1427.00503,1403.15769,1398.18526,1397.90068,1375.71802,1329.26018,1398.9397,1398.65638,1337.48032,1250.0682,1144.12021,1045.86229,28853.37684,2024-01-03
2024,1,4,3,4,1,1,0,0,0,0,0,1,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,28853.37684,0.0,0.0,26596.027545,3579.519499077872,21394.90954,29057.542660000003,26596.027545,3579.519499077872,21394.90954,29057.542660000003,26596.027545,3579.519499077872,21394.90954,29057.542660000003,1139.32882,0.0,1393.30122,0.0,1329.26018,0.0,1398.65638,0.0,204.165820000002,0.7075976622499258,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,962.46394,912.10788,884.0168,876.75243,907.28892,973.00892,1043.68356,1136.66537,1212.15425,1261.95843,1336.06284,1399.45052,1427.94346,1420.91539,1422.1702,1429.48342,1407.24654,1355.45675,1421.62603,1421.32376,1357.19935,1264.28576,1159.74694,1064.5312,29057.542660000003,2024-01-04
2024,1,5,4,5,1,1,0,0,0,0,0,1,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,29057.542660000003,0.0,0.0,27110.684250000002,3306.6716654691177,21394.90954,29169.31107,27110.684250000002,3306.6716654691177,21394.90954,29169.31107,27110.684250000002,3306.6716654691177,21394.90954,29169.31107,1136.66537,0.0,1399.45052,0.0,1355.45675,0.0,1421.32376,0.0,111.76840999999695,0.38464508615814186,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,991.18427,944.87352,911.5416,908.00786,945.34501,1011.29557,1072.25729,1162.1357,1230.46085,1276.79828,1346.17231,1392.53072,1415.51954,1407.49151,1409.41545,1410.06993,1383.67315,1331.25057,1400.90051,1400.70982,1345.29702,1255.86227,1156.17268,1060.34564,29169.31107,2024-01-05
2024,1,6,5,6,1,1,1,0,0,0,0,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,29169.31107,0.0,0.0,27158.468185,2959.892198921703,21394.90954,29169.31107,27158.468185,2959.892198921703,21394.90954,29169.31107,27158.468185,2959.892198921703,21394.90954,29169.31107,1162.1357,0.0,1392.53072,0.0,1331.25057,0.0,1400.70982,0.0,-1771.9232099999936,-6.074614534939693,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,969.99905,922.91871,896.77855,890.78165,907.41612,950.8774,993.07415,1071.17904,1147.54787,1202.47629,1259.20786,1303.54118,1318.89731,1298.08796,1281.65338,1276.30643,1258.84349,1244.63992,1326.91847,1317.6074,1256.41017,1179.51686,1099.95503,1022.75357,27397.387860000006,2024-01-06
2024,1,7,6,7,1,1,1,0,0,0,0,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,27397.387860000006,0.0,0.0,26803.393141428573,2860.6554371918655,21394.90954,29169.31107,26803.393141428573,2860.6554371918655,21394.90954,29169.31107,26803.393141428573,2860.6554371918655,21394.90954,29169.31107,1071.17904,0.0,1303.54118,0.0,1244.63992,0.0,1317.6074,0.0,-2724.4449799999966,-9.944177868057514,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,1,951.43,902.32892,868.71492,855.68423,852.63058,867.04588,865.72256,913.06429,972.95895,1028.22192,1071.74338,1108.94101,1137.5824,1133.27087,1115.40184,1113.41754,1106.35015,1097.30683,1184.86809,1206.72158,1166.26363,1112.41861,1055.53658,985.31812,24672.94288000001,2024-01-07
2024,1,8,0,8,2,1,0,0,0,0,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,24672.94288000001,21394.90954,0.0,27341.95298428572,1848.556629079837,24672.94288000001,29169.31107,26598.572553750004,2711.0719987721263,21394.90954,29169.31107,26598.572553750004,2711.0719987721263,21394.90954,29169.31107,913.06429,744.82634,1108.94101,922.73952,1097.30683,956.09995,1206.72158,1071.34546,491.88555999999153,1.9936233889582544,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,921.89343,874.55393,840.29285,825.12003,829.38191,854.78429,859.7126,913.2997,977.30773,1042.0433,1102.46451,1155.83433,1192.07512,1182.79087,1162.89488,1156.57431,1149.28959,1141.42183,1243.39517,1265.10062,1223.51722,1161.24727,1081.78635,1008.0466,25164.82844,2024-01-08
2024,1,9,1,9,2,1,0,0,0,0,0,1,0.7818314824680297,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,25164.82844,27078.281140000003,0.0,27804.09125714286,2151.2416822025725,24672.94288000001,30313.24905,27011.31438666667,2822.1224008652057,21394.90954,30313.24905,27011.31438666667,2822.1224008652057,21394.90954,30313.24905,913.2997,1041.44381,1155.83433,1312.29917,1141.42183,1284.39504,1265.10062,1360.26564,5148.420609999997,20.458794790813982,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,944.12512,907.97553,884.76253,883.82193,926.45782,1006.61573,1095.58935,1206.72131,1295.48247,1352.29419,1421.96664,1489.38595,1505.75457,1492.93406,1503.54782,1501.98385,1474.64966,1424.39269,1474.03872,1473.26482,1413.73138,1319.71318,1207.37528,1106.66445,30313.24905,2024-01-09
2024,1,10,2,10,2,1,0,0,0,0,0,1,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,30313.24905,28853.37684,0.0,28113.607378571432,2460.9430963747195,24672.94288000001,31019.98969,27412.181917,2947.2685788430667,21394.90954,31019.98969,27412.181917,2947.2685788430667,21394.90954,31019.98969,1206.72131,1139.32882,1489.38595,1393.30122,1424.39269,1329.26018,1473.26482,1398.65638,706.74064,2.3314579009141134,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1031.84578,984.37268,957.22958,954.07425,990.28124,1065.4156,1152.6903,1260.95291,1346.37006,1396.15396,1452.88029,1493.16939,1513.97723,1492.26927,1500.33603,1509.35939,1486.68527,1429.94283,1480.88107,1479.12225,1418.46134,1315.46741,1203.39501,1104.65655,31019.98969,2024-01-10
2024,1,11,3,11,2,1,0,0,0,0,0,1,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.1882267098432442,0.9821256058680006,31019.98969,29057.542660000003,0.0,28442.11413857143,2745.0317020710545,24672.94288000001,31357.08998,27770.809922727276,3038.504135205874,21394.90954,31357.08998,27770.809922727276,3038.504135205874,21394.90954,31357.08998,1260.95291,1136.66537,1493.16939,1399.45052,1429.94283,1355.45675,1479.12225,1421.32376,337.10029000000213,1.0867195423623022,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,1025.42952,986.76296,963.16304,958.55063,1002.96662,1083.5066,1175.68684,1272.52743,1347.02624,1391.49904,1458.14265,1511.00509,1532.70457,1518.79412,1524.48517,1532.83797,1501.96524,1448.02563,1500.73417,1505.04318,1437.80022,1340.55666,1220.68543,1117.19096,31357.08998,2024-01-11
2024,1,12,4,12,2,1,0,0,0,0,0,1,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.2051044998686192,0.9787400799669153,31357.08998,29169.31107,0.0,28746.461712857144,2949.577249727436,24672.94288000001,31357.08998,28064.88777,3070.9884223235495,21394.90954,31357.08998,28064.88777,3070.9884223235495,21394.90954,31357.08998,1272.52743,1162.1357,1511.00509,1392.53072,1448.02563,1331.25057,1505.04318,1400.70982,-57.34588999999687,-0.1828801398234714,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,1036.28458,990.04412,966.33884,964.05719,1003.65052,1089.23833,1177.65708,1282.4035,1365.11544,1414.61074,1474.34919,1523.02315,1546.71419,1512.75958,1509.53918,1513.07467,1477.71405,1437.0312,1484.71007,1467.6494,1413.76577,1323.4561,1215.02601,1111.53119,31299.744090000004,2024-01-12
2024,1,13,5,13,2,1,1,0,0,0,0,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.22192151300416552,0.9750645322571948,31299.744090000004,27397.387860000006,0.0,29008.15699714286,2890.6093277123473,24672.94288000001,31357.08998,28154.454468461543,2957.929047102789,21394.90954,31357.08998,28154.454468461543,2957.929047102789,21394.90954,31357.08998,1282.4035,1071.17904,1523.02315,1303.54118,1437.0312,1244.63992,1467.6494,1317.6074,-2070.4892399999953,-6.61503568222942,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,1034.51894,984.13522,959.79895,952.13096,972.22212,1023.24506,1085.78118,1172.90572,1256.09392,1309.59719,1376.73975,1412.38518,1416.0797,1390.93386,1365.76464,1360.10434,1338.72603,1317.29102,1388.63847,1387.3192,1315.55122,1224.47538,1132.79493,1052.02187,29229.25485000001,2024-01-13
2024,1,14,6,14,2,1,1,0,0,0,0,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.2386727660059501,0.9711000518829505,29229.25485000001,24672.94288000001,0.0,29180.455402857147,2611.617317775957,25164.82844,31357.08998,27991.924272142856,2906.224814620848,21394.90954,31357.08998,27991.924272142856,2906.224814620848,21394.90954,31357.08998,1172.90572,913.06429,1412.38518,1108.94101,1317.29102,1097.30683,1387.3192,1206.72158,-3350.2231300000094,-11.461883469807333,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,1,976.00054,923.94129,890.25924,876.44512,881.33771,894.34421,894.81864,944.44048,1008.02121,1072.26221,1125.55844,1177.40568,1203.59929,1206.879,1187.11266,1184.6082,1167.95207,1151.29368,1242.60909,1281.45155,1247.78147,1186.27421,1116.34611,1038.28962,25879.03172,2024-01-14
2024,1,15,0,15,3,1,0,0,0,0,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387,0.255353295116187,0.9668478136052775,25879.03172,25164.82844,21394.90954,30022.04684,1973.0529022417484,25879.03172,31357.08998,28681.99991214286,2303.8555804061098,24672.94288000001,31357.08998,28196.193887333335,2910.1096033047015,21394.90954,31357.08998,944.44048,913.2997,1177.40568,1155.83433,1151.29368,1141.42183,1281.45155,1265.10062,5176.93678,20.004368154157515,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,980.02772,940.5683,914.39344,916.45987,963.50688,1053.64715,1162.013,1257.38982,1340.70298,1397.83237,1458.16814,1513.60529,1532.92892,1514.5541,1519.1244,1529.12829,1500.82173,1434.22045,1481.34226,1505.1404,1446.95267,1343.93093,1221.91491,1127.59448,31055.9685,2024-01-15
